Context,Response,Clean_Context,Clean_Response
Is this something I should be worried about? Should I do something about it?,"It can be tricky to figure out if a child is truly satisfied with his lack of friendships. Parents can usually tell when their child is happy. But kids who are unhappy may be masking disappointment, perhaps acting out their feelings in an aggressive manner. Others may internalize symptoms, appearing sad or withdrawn. A parent may learn a great deal by asking the teachers questions such as whether the child works with others on group projects or if he eats lunch alone. A parent can also talk with the recess supervisor about what happens on the playground, and whether your child stays on the sidelines of play, unsure of how to join the group. Therespectfully is a difference between kids who are shy but happy and kids who feel isolated because they do not know how to make friends. Itis not necessarily that there is something wrong with that child, but they will in fact need help and suggestions for breaking into a peer group Ask a child if there is someone he would like to have over to play. If a mom or dad can make the play dates happen, or if they hit on an activity the child truly enjoys, the young person may begin to forge friendships on their own. I encourage well-meaning parents to choose words carefully. Use phrases like, ""Hey, I noticed something,"" or ""Let me help you be successful."" By showing respect, parents should feel more comfortable nudging their children beyond their comfort zone.When to seek professional help. When does isolation raise a red flag for long-term issues? True personality disorders are not typically diagnosed until adulthood. Still, professional counseling should be considered if the anti-social behavior is causing the child significant distress, perhaps keeping him from functioning in everyday activities. Also, parents should pay attention to how the child's social behavior changes over time such as social anxiety. The vast majority of children who define ""quality time"" as time alone are perfectly happy, healthy and normal. If the child is able to nurture at least one friendship, exhibiting what experts call ""social reciprocity,"" then parents can relax, and can cherish that child who enjoys the pleasure of his or her own company.",something worried something,tricky figure child truly satisfied lack friendships parents usually tell child happy kids unhappy may masking disappointment perhaps acting feelings aggressive manner others may internalize symptoms appearing sad withdrawn parent may learn great deal asking teachers questions whether child works others group projects eats lunch alone parent also talk recess supervisor happens playground whether child stays sidelines play unsure join group therespectfully difference kids shy happy kids feel isolated know make friends itis necessarily something wrong child fact need help suggestions breaking peer group ask child someone would like play mom dad make play dates happen hit activity child truly enjoys young person may begin forge friendships encourage wellmeaning parents choose words carefully use phrases like hey noticed something let help successful showing respect parents feel comfortable nudging children beyond comfort zonewhen seek professional help isolation raise red flag longterm issues true personality disorders typically diagnosed adulthood still professional counseling considered antisocial behavior causing child significant distress perhaps keeping functioning everyday activities also parents pay attention childs social behavior changes time social anxiety vast majority children define quality time time alone perfectly happy healthy normal child able nurture least one friendship exhibiting experts call social reciprocity parents relax cherish child enjoys pleasure company
"Me and my adult daughter just do not get along. She's very belittling to me when I don't agree with her. It's almost like she scolds me. We get into all out war. She's said I don't support her in what she does and that I've never loved her. She calls me horrible names, and she pushes my buttons to the point I call her names.","As frustrating and probably hurtful as your daughter's comments sound, there's also a message in them about how she genuinely feels.To some degree, your daughter and you may both feel similarly misunderstood by the other.Developing ways of listening and talking to one another to better understand how you each feel, would probably help a lot.One major point to be aware, is that the mother/daughter relationship dynamic, because it is strong, may slow the new dynamic of relating as two adults.Watch for your own tendency to expect your daughter to consider you as a parenting authority, instead of considering her as a grown person.The same is true of your daughter.  She may need to remind herself to talk to you as the adult she is.Her needs from you are real, they just need to be spoken to you in an adult way.",adult daughter get along shes belittling dont agree almost like scolds get war shes said dont support ive never loved calls horrible names pushes buttons point call names,frustrating probably hurtful daughters comments sound theres also message genuinely feelsto degree daughter may feel similarly misunderstood otherdeveloping ways listening talking one another better understand feel would probably help lotone major point aware motherdaughter relationship dynamic strong may slow new dynamic relating two adultswatch tendency expect daughter consider parenting authority instead considering grown personthe true daughter may need remind talk adult isher needs real need spoken adult way
"We are the legal guardianship of our grandson. He has been acting out, and he wants to talk to his mom that has not talked to him since before last year. How are we to handle this?","Hi Boone, This depends a lot on his age and the situation. The younger the child is, in general, the more I would see this as your decision, not his. A child of any age should be listened to carefully about these matters, but just because a child has unresolved issues about a parent doesn't necessarily mean that having contact is a good solution. Some questions... Was the parent harmful to the child? Is the parent likely to be harmful to the child? How likely is it to be a positive experience? Do you have any contact with the parent? You may want to speak with the parent first to determine whether they are in a stable enough place to allow this to happen.  I would start by asking the child more about what is on his mind. What does he want to get out of a visit with the parent? Is it to see them and know the parent is okay, to get an apology, to apologize for a perceived hurt, to have regular contact, to find out if they are loved...? What does he hope mom or dad might do or say in the visit? There are many possible goals this child might have in mind. This will give you a sense of what's missing for the child; what need are they trying to fill. Once you know the need, try to determine the likelihood of that need being met successfully through contact.Once you determine the risk of the child's need not being met, then you decide whether it makes sense.  The older the child, the more able they are to determine this with you or for themselves. There are other options than a face-to-face. He can write to his mom or dad, text or email. It's likely that the child is looking for a sense that he is loved, wanted, worth some effort. When a child is separated from a parent, they tend to blame themselves. Whether he sees the parent or not, he will need extra love, attention and support than a child who has two loving, present parents. I wish him the best and I'm grateful for the love and support you continue to give your grandson. You're very special!",legal guardianship grandson acting wants talk mom talked since last year handle,hi boone depends lot age situation younger child general would see decision child age listened carefully matters child unresolved issues parent doesnt necessarily mean contact good solution questions parent harmful child parent likely harmful child likely positive experience contact parent may want speak parent first determine whether stable enough place allow happen would start asking child mind want get visit parent see know parent okay get apology apologize perceived hurt regular contact find loved hope mom dad might say visit many possible goals child might mind give sense whats missing child need trying fill know need try determine likelihood need met successfully contactonce determine risk childs need met decide whether makes sense older child able determine options facetoface write mom dad text email likely child looking sense loved wanted worth effort child separated parent tend blame whether sees parent need extra love attention support child two loving present parents wish best im grateful love support continue give grandson youre special
"I am divorced and happily remarried. Our blended family of children are in their 20s. My youngest, age 20, continues to call me crazy and favors her dad. He was abusive to me, and I left with injuries. He never wanted kids, and I did. He paid child support only through forced wage earners. Now my daughters favor him after all the sacrifices I made for them the past 15 years as a single mom. I don’t deny them a relationship with their dad, but to be called crazy and then watch them hang out with him hurts me to the very core. I’m not sure how to handle this.","Hi Arkansas, Your situation sounds like a case of parental alienation. Your ex-partner unfortunately has the power to say things to your children that poison their relationship with you. It's a form of woman abuse and child abuse. He's likely doing this to hurt you and have power over you, and he's not considering how it's affecting the kids. I've seen this happen in many families; parents who once had a strong loving relationship with their children suddenly feel abandoned in favor of the other parent. In some cases, children actually stop having contact with one parent, who is left bewildered and powerless. It's your ex's job to support your relationship with your kids, not try to destroy it. While you can't change his behaviours, and I think you know that, there are things you can do for yourself and your kids. For your children, you can refuse to enter into the war he's setting up. He's trying to provoke you into acting ""crazy"", but you don't have to fall for this. If you run around screaming ""he's lying!"", it only makes you look more 'crazy'. Try to stay calm, and don't put their dad down to them, no matter how tempting it is. One day, they may be ready to hear the truth of your relationship with their father, but wait until they ask. Trust that they have their own experience of their dad, and trust that he doesn't have the power to destroy their love for you. Children, in the long term, lose respect for parents who denigrate the other parent. They see who their dad is already, I'd bet, but they don't know how to cope with that. If he's the only one fighting a war, you're helping them feel less trapped in a parental conflict. Don't engage on his level. Don't blame your children completely. Although I have to say that for them to call you names like crazy is not acceptable and you don't need to tolerate that disrespect, try to deal with this behaviour without bringing their dad into it. They are acting out their father's agenda, likely because they instinctively see his weakness. Children often support the weaker parent, rather than abandon them. You get the worst because they trust your love. But you can still have boundaries. Letting them abuse you isn't the answer, but have compassion for their position. This picture isn't their fault, but as adults, they can be held accountable for their choices.Reassure yourself that you are the mom you know you are. You don't need them to gush all over you in order to know that you made sacrifices. Hold onto the likelihood that some day, they will come back and be grateful. It may take a while, you can't rush it, but they will see you for who you are. Your power is in giving them a consistently calm, generous, connected, supportive mom who refuses to play games or be walked on. I'd recommend trying to connect with other parents who experience this phenomenon, or a therapist who can reinforce these goals and help keep you grounded. Good luck!",divorced happily remarried blended family children 20s youngest age 20 continues call crazy favors dad abusive left injuries never wanted kids paid child support forced wage earners daughters favor sacrifices made past 15 years single mom don’t deny relationship dad called crazy watch hang hurts core i’m sure handle,hi arkansas situation sounds like case parental alienation expartner unfortunately power say things children poison relationship form woman abuse child abuse hes likely hurt power hes considering affecting kids ive seen happen many families parents strong loving relationship children suddenly feel abandoned favor parent cases children actually stop contact one parent left bewildered powerless exs job support relationship kids try destroy cant change behaviours think know things kids children refuse enter war hes setting hes trying provoke acting crazy dont fall run around screaming hes lying makes look crazy try stay calm dont put dad matter tempting one day may ready hear truth relationship father wait ask trust experience dad trust doesnt power destroy love children long term lose respect parents denigrate parent see dad already id bet dont know cope hes one fighting war youre helping feel less trapped parental conflict dont engage level dont blame children completely although say call names like crazy acceptable dont need tolerate disrespect try deal behaviour without bringing dad acting fathers agenda likely instinctively see weakness children often support weaker parent rather abandon get worst trust love still boundaries letting abuse isnt answer compassion position picture isnt fault adults held accountable choicesreassure mom know dont need gush order know made sacrifices hold onto likelihood day come back grateful may take cant rush see power giving consistently calm generous connected supportive mom refuses play games walked id recommend trying connect parents experience phenomenon therapist reinforce goals help keep grounded good luck
"We live with my ex-partner’s sister and her husband. We have been there for five years now. They are Hispanic and talk to my daughter in their language. Sometimes they overstep their balance between aunt and uncle and reach into my role as a parent. They neglect to see this. I do, and it reflects in my child's behavior. She sees them as stable but is upset that her dad isn't here, and my intuition tells me she blames me to a degree because she doesn't know about his alcohol addictions.","Hi New York, I'm happy to hear that your daughter doesn't know about her dad's addictions. Although you don't say how old she is, and I imagine that at some point in her life she will be ready to know the truth, I trust your instinct that now is not the time. Your ability to have clear boundaries about what is adult conversation and what is suitable for a child to know are really important here, and I can tell you're being appropriately protective and a thoughtful parent. As much as this helps your daughter, I sense that you also know you can't take away the emotional pain that comes from having an absent parent. Children tend to blame themselves for a parent's absence. These children need extra love and support wherever they can get it.You say that you feel like there is a wedge between you and your daughter. I understand that having your ex partner's relatives in the same home would make it uncomfortable at times. It is very important to establish boundaries; only you should parent your daughter, but it's also natural for people to want to assist you. Let's trust that their intentions are good, if there is no evidence to the contrary. As much as they support you, they also  have emotional ties to your daughter's father. While there is potential for discomfort in this complex situation, there are also many positive factors here that I invite you to see.I don't know what your culture is, but for your daughter to have the opportunity to preserve her father's heritage language and a relationship with his family are potentially wonderful additions to her life. In general, the more adults around loving and supporting a child, the better. It could be that you are feeling threatened by small moments where there appears to be a special connection between your daughter and her father's family. Nothing anyone else does can take your daughter's love from you. My hope for you is that you can feel so secure in your own position as loving mother that you will not feel intimidated by other positive connections your daughter has. They are potentially wonderful connections, and she deserves your support in maintaining those relationships if they don't harm her.I suggest that the most important alliances to work on here are between you and your ex's family. If you could all give your daughter the gift of a healthy, united supportive and loving safety net for her...that's the best outcome of all.",live expartner’s sister husband five years hispanic talk daughter language sometimes overstep balance aunt uncle reach role parent neglect see reflects childs behavior sees stable upset dad isnt intuition tells blames degree doesnt know alcohol addictions,hi new york im happy hear daughter doesnt know dads addictions although dont say old imagine point life ready know truth trust instinct time ability clear boundaries adult conversation suitable child know really important tell youre appropriately protective thoughtful parent much helps daughter sense also know cant take away emotional pain comes absent parent children tend blame parents absence children need extra love support wherever get ityou say feel like wedge daughter understand ex partners relatives home would make uncomfortable times important establish boundaries parent daughter also natural people want assist lets trust intentions good evidence contrary much support also emotional ties daughters father potential discomfort complex situation also many positive factors invite seei dont know culture daughter opportunity preserve fathers heritage language relationship family potentially wonderful additions life general adults around loving supporting child better could feeling threatened small moments appears special connection daughter fathers family nothing anyone else take daughters love hope feel secure position loving mother feel intimidated positive connections daughter potentially wonderful connections deserves support maintaining relationships dont harm heri suggest important alliances work exs family could give daughter gift healthy united supportive loving safety net herthats best outcome
"My mother-in-law is mentally ill. She has been for most of her life. She cuts herself. She has been in and out of psychiatric hospitals for about 40 years. She has voices in her head that tell her to cut herself. She has had multiple shock therapy treatments, and she’s on enough medication to take down an elephant. Her parental rights for her two children were taken away from her when my husband was a boy—he is now in his late 30s. She doesn’t even have custody of herself. She hasn’t asked yet, but she has been insinuating that she wants to babysit my child. How do I go about saying no without creating an issue?","Hi Fontana,Thanks for providing all the details needed in order to respond to your question. It seems very clear to me that ""no"" would be the appropriate response. I like your healthy boundaries, and I'll help you explore possible ways to respond to her. First, she hasn't asked yet, and you don't know that she will. Right now, you can pleasantly ignore her hints. They're not hurting you and if you ignore them, they're more likely to go away. You can address and reduce your own anxiety about the possibility of her asking by reassuring yourself that you have the right as parents to make this decision, and that if she's offended, that doesn't mean that you're being mean; it means that she has unrealistic expectations. So, the first goal is to put it out of your mind as a worry. You might never have to face that moment. But, I understand that you want to be prepared.As her son, perhaps your husband is the best one to answer the question, should it ever come. Is he willing to do this? But if you are comfortable, and if you're the one she asks, you can confidently give her a simple, honest response about why it won't happen. And I would suggest presenting a firmly closed door, rather than saying ""but maybe later"". No need to apologize or hum and haw...""We love that you want to be around Junior, and we definitely want you in his/her life. (try to leave out the ""but"" here). You're not in a healthy place, and we're not comfortable with you caring for him/her on your own.""If she pushes the issue, this is evidence of her denial or inappropriate boundaries. I'd let her know that it's not negotiable, that you understand if she's disappointed, but you're not open to discussing the issue. Really, there's nothing to discuss. Learning not to take responsibility for her emotions is part of having an ill person in your life. I wish you the best.",motherinlaw mentally ill life cuts psychiatric hospitals 40 years voices head tell cut multiple shock therapy treatments she’s enough medication take elephant parental rights two children taken away husband boy—he late 30s doesn’t even custody hasn’t asked yet insinuating wants babysit child go saying without creating issue,hi fontanathanks providing details needed order respond question seems clear would appropriate response like healthy boundaries ill help explore possible ways respond first hasnt asked yet dont know right pleasantly ignore hints theyre hurting ignore theyre likely go away address reduce anxiety possibility asking reassuring right parents make decision shes offended doesnt mean youre mean means unrealistic expectations first goal put mind worry might never face moment understand want preparedas son perhaps husband best one answer question ever come willing comfortable youre one asks confidently give simple honest response wont happen would suggest presenting firmly closed door rather saying maybe later need apologize hum hawwe love want around junior definitely want hisher life try leave youre healthy place comfortable caring himher ownif pushes issue evidence denial inappropriate boundaries id let know negotiable understand shes disappointed youre open discussing issue really theres nothing discuss learning take responsibility emotions part ill person life wish best
"My daughter didn't see her biological father for the last three years. She doesn’t want to see him because she remember really bad things from him such as domestic violence and child abuse. The visitation is with supervision, but she refuses to see him. Is it better to take my daughter to the therapist and try to see him after the therapy?","Has the father or the visitation supervisor contacted you regarding why your daughter hasn't shown up for the past three years' worth of supervised visitation?Or is the supervised visitation a new development for the bio dad and your daughter?If no one is pressuring or expecting your daughter to show up, no one has even asked where she is, why she isn't present, then I don't see any reason for you to offer more effort by your daughter, than the father is willing to make for seeing her.If your daughter is willing to talk with a therapist, then let her find out first hand if the sessions seem useful or not.The one move I'd avoid is to force your daughter to go to a therapist since growing up in a household in which child abuse took place, being forced may remind her of her own feelings from this past, of feeling no one heard or cared about the way she wanted to be treated.",daughter didnt see biological father last three years doesn’t want see remember really bad things domestic violence child abuse visitation supervision refuses see better take daughter therapist try see therapy,father visitation supervisor contacted regarding daughter hasnt shown past three years worth supervised visitationor supervised visitation new development bio dad daughterif one pressuring expecting daughter show one even asked isnt present dont see reason offer effort daughter father willing make seeing herif daughter willing talk therapist let find first hand sessions seem useful notthe one move id avoid force daughter go therapist since growing household child abuse took place forced may remind feelings past feeling one heard cared way wanted treated
"My fiancé and I have been in a relationship for two years. We have an infant son. My fiancé also has a child from a previous relationship. We do not live together. I live with my mother currently while I get on my feet, and he's living with some friends. My mother and I have an awful relationship that is completely unbearable most of the time. We cannot even stand to be around one another while living in the same house. She has made it clear that she wants me gone. Recently, I was talking to my father who lives in a different state. My father and I have always had a good relationship. I explained to him the situation I am in with my mother, and he said he would like for me, my fiancé, and our son to come live with him and his wife. I would really love to go. I do not want my son to be in this environment with constant arguing and negativity any longer. There is nowhere else for me to stay while remaining in this state. The problem is my fiancé is refusing to move away with me because he does not want to leave behind his other child. He and his child's mother have a horrible relationship, and she would absolutely not be willing to let him visit if we moved away. I believe I would be doing what is best for my child by moving away, but I do not want to leave without my fiancé. I have already explained the situation to him, and he will not give in. Do I continue to stay in this negative environment with my child and keep our family together? Do I move away with my child and have my relationship end? I do not want to take him out of either of his kids’ lives. What do I do?","Hi Bethlehem,You have a big decision to make.  I appreciate your fiancé's need to stay close to his child and be a stand-up dad, and I am glad that you know your son needs an emotionally safe place.I'm a bit confused, because the obvious answer seems to be that you and your fiancé would get your own place together. I get that you want your dad to take care of all of you, but maybe it's time to take responsibility for your own future and start building it independently of either parent. I say that without knowing how old you are, but if you have a child and a two year relationship, you basically have declared your independence anyway.  I wish you the best.",fiancé relationship two years infant son fiancé also child previous relationship live together live mother currently get feet hes living friends mother awful relationship completely unbearable time cannot even stand around one another living house made clear wants gone recently talking father lives different state father always good relationship explained situation mother said would like fiancé son come live wife would really love go want son environment constant arguing negativity longer nowhere else stay remaining state problem fiancé refusing move away want leave behind child childs mother horrible relationship would absolutely willing let visit moved away believe would best child moving away want leave without fiancé already explained situation give continue stay negative environment child keep family together move away child relationship end want take either kids’ lives,hi bethlehemyou big decision make appreciate fiancés need stay close child standup dad glad know son needs emotionally safe placeim bit confused obvious answer seems fiancé would get place together get want dad take care maybe time take responsibility future start building independently either parent say without knowing old child two year relationship basically declared independence anyway wish best
"Just wondering if this is a deviant act, and if I should be concerned for him. He isn’t quite 10.","Well it's certainly unusual, and potentially could be cause for alarm. It's a passive aggressive act if done intentionally, so I would wonder if this child is trying to say something.I think without any context, however, or sense of whether there are other signs of disturbance, it's impossible to say what's going on. If there are other signs of distress or very unusual behaviours, you might bring the child to someone who can assess him properly.",wondering deviant act concerned isn’t quite 10,well certainly unusual potentially could cause alarm passive aggressive act done intentionally would wonder child trying say somethingi think without context however sense whether signs disturbance impossible say whats going signs distress unusual behaviours might bring child someone assess properly
"My boyfriend has a child he gets every other weekend. He goes to see her twice a week or more. Every time she leaves, he gets into these funks like when his mom died. When she’s here, she’s disrespectful, and his answer is “Well, I don’t know what to tell you.” She swears and talks back, and he laughs. He and her mom have been apart for three years, and he blames her behavior on that and her being so young. We never have adult time when she’s not here. She’s the ""golden child,"" and he won’t listen to anyone.","Hi Lockport, Building a relationship when there are already children involved is very tricky. You don't tell us whether you live together or not. If you do, your position is perhaps more difficult, because his daughter's behaviours affect you; you live in the home. A bottom line for me is you don't tell someone else how to parent. That's for your boyfriend to decide. When he's there, he's the parent, and he makes the decisions about how she is disciplined (or not). Even if you have good ideas or you completely disagree, or you think you see something that he's not seeing, it's simply not for you to interfere there. It sounds like your boyfriend is struggling emotionally and needs support. He has had a lot of losses in his life and maybe every time his daughter leaves he feels powerless and abandoned. Do you talk about these things? Can you find that line of supporting him but not telling him what to do?Although I suggest you leave the parenting to him, what you can do is tell him what you see, offer suggestions if he's open to it, and talk about the ways in which the situation affects you. It makes sense to say ""I see you struggling and I don't know how to help"", ""I've noticed that you seem afraid to discipline her. Are you aware that it's coming across this way? Do you need help?"", or ""I feel sad and frustrated when we don't spend any time alone together."" You sound a bit resentful of his daughter. Is it possible that your real struggle is about whether you're ready to be in a relationship with a man whose priority is his child?You have a voice, and it's great to offer support and ideas and let him know how you feel. Ultimately, however, you are wise to accept this man as who he is and accept the situation for what it is, and make your own decision about whether you want to be a part of it. :)",boyfriend child gets every weekend goes see twice week every time leaves gets funks like mom died she’s she’s disrespectful answer “well don’t know tell you” swears talks back laughs mom apart three years blames behavior young never adult time she’s she’s golden child won’t listen anyone,hi lockport building relationship already children involved tricky dont tell us whether live together position perhaps difficult daughters behaviours affect live home bottom line dont tell someone else parent thats boyfriend decide hes hes parent makes decisions disciplined even good ideas completely disagree think see something hes seeing simply interfere sounds like boyfriend struggling emotionally needs support lot losses life maybe every time daughter leaves feels powerless abandoned talk things find line supporting telling doalthough suggest leave parenting tell see offer suggestions hes open talk ways situation affects makes sense say see struggling dont know help ive noticed seem afraid discipline aware coming across way need help feel sad frustrated dont spend time alone together sound bit resentful daughter possible real struggle whether youre ready relationship man whose priority childyou voice great offer support ideas let know feel ultimately however wise accept man accept situation make decision whether want part
"My ex-husband told my two adolescents that Santa doesn't exist on the day before Christmas. They are desperate to hold on to the magic of Christmas, but I don't know if it's right for me to lie to them and tell them that Santa is real. I don't want to let them down and make them lose out on those memories, but I also don't want to lose their trust.","Well Boise, the cat's out of the bag now, isn't it? I love that you want to help your kids keep the magic of Christmas. They must want that too if they still believe in Santa into their teen years, which is unusual, I believe. I wonder if they had already figured it out anyway?But they know now, and your ex had the right to tell them if he felt it was best. So it's time to explain to them what a loving and magical thing it is that parents do, and Christmas can still be magical in so many ways. Really, who says they have to stop believing in Santa? Santa is very real as a spirit of surprise, generosity and love.",exhusband told two adolescents santa doesnt exist day christmas desperate hold magic christmas dont know right lie tell santa real dont want let make lose memories also dont want lose trust,well boise cats bag isnt love want help kids keep magic christmas must want still believe santa teen years unusual believe wonder already figured anywaybut know ex right tell felt best time explain loving magical thing parents christmas still magical many ways really says stop believing santa santa real spirit surprise generosity love
"For the last year, my adolescent son and daughter have been driving me nuts with fighting. I'm at my wits end. How can I get them to stop and get along?","That is a good question. Unfortunately there is no generic answer with this one. Kids fight for different reasons - wanting attention, wanting respect, feeling jealous, wanting space and to be left alone, or a whole bunch of other reasons. Regardless of the underlying motivations for fighting, most conflicts result from misunderstandings and assumptions about the motivations of others and one of the best ways to start figuring out what is going on is to sit them down and have some conversations with them. These conversations should be centred on getting a better understanding of why they are angry with each other and really understanding them. It is important that they each know that you are committed to understanding their experience rather than simply sitting them down and lecturing them about what they are doing wrong. The more they are able to understand each other and feel understood the more likely they will be cooperative and considerate of each other. One exercise for doing this that can be very helpful is ""active listening"" where one person speaks and the other person reflects back what they heard the other person say and then checks for understanding. This is hard to do but it often illuminates where the misunderstandings and assumptions are. If this doesn't work it may be time to get a family therapist or counsellor involved who can help facilitate dialogue and resolve conflict.",last year adolescent son daughter driving nuts fighting im wits end get stop get along,good question unfortunately generic answer one kids fight different reasons wanting attention wanting respect feeling jealous wanting space left alone whole bunch reasons regardless underlying motivations fighting conflicts result misunderstandings assumptions motivations others one best ways start figuring going sit conversations conversations centred getting better understanding angry really understanding important know committed understanding experience rather simply sitting lecturing wrong able understand feel understood likely cooperative considerate one exercise helpful active listening one person speaks person reflects back heard person say checks understanding hard often illuminates misunderstandings assumptions doesnt work may time get family therapist counsellor involved help facilitate dialogue resolve conflict
"My toddler is having a real hard time with toilet training. He almost throws up every time he sees his poop. He gags and will not go on the toilet. We have tried a toilet chair and ring that goes on the big-boy toilet, but he refuses to use it. When he sits on the toilet, he just sits there forever and only will pee. He holds the poop in until he get up and then will poop in his diaper. I dump his diaper in the toilet and let him know that it is where it goes to try to encourage him. How can I help him get over this fear and passed the stress?","Your son is showing signs that he's just not ready to be toilet trained. You don't say how old he is, so I'm not sure whether the problem is deeper, but right his fears may reflect that right now he is simply be not ready to take that step. Pushing him at this point could worsen the problem, so I suggest pulling back the expectations, waiting a month or two, looking for more signs of readiness and trying again. In general, teaching children to use the toilet works best when ""mistakes"" are handled calmly and when parents pay close attention to cues that the child is responding positively.",toddler real hard time toilet training almost throws every time sees poop gags go toilet tried toilet chair ring goes bigboy toilet refuses use sits toilet sits forever pee holds poop get poop diaper dump diaper toilet let know goes try encourage help get fear passed stress,son showing signs hes ready toilet trained dont say old im sure whether problem deeper right fears may reflect right simply ready take step pushing point could worsen problem suggest pulling back expectations waiting month two looking signs readiness trying general teaching children use toilet works best mistakes handled calmly parents pay close attention cues child responding positively
"I’m a senior high school student. I’m also five months pregnant. I got pregnant by my boyfriend of three years. My parents don’t want us to communicate with each other. He can’t even come to visit my gynecologist. My mom goes to attend all of my doctor’s appointments. She’s supportive of me. I wish, though, that my boyfriend was next to me and be able to see his daughter on a sonogram, at the very least. My family does not understand that he deserves that much. I cry all the time because I feel lost and hopeless.
 I need guidance and I believe that you can give it to me. Am I wrong for wanting him around? Are they right for keeping him away from the appointments and not letting us communicate with each other even though we are the parents? I do everything that they ask of me. I just want him to be around. When I ask my parents to let him be here, they call me a selfish person. Please help me.","You're not wrong for wanting to be with your boyfriend of three years who is also the biological father of your child.Do your parents object to you and your boyfriend continuing to see each other in person?  Or, do they object only to electronic communication and don't want him involved in his child's life? Ask your parents what their reason is for forbidding you to communicate with your boyfriend.  Ask them also to understand your point of view.Now is also a good time for you and your boyfriend to plan whether and where you will live as a family and how to financially and emotionally support one another once your baby is born.Your mom and dad are definitely making fatherhood difficult for your boyfriend and motherhood stressful for you.Consider bringing up the topic during your next obgyn visit.  Your doctor may ask your mom to explain her reasons and address these.Look online for women's resources to see if there are clinics or agencies that would help you advocate for your position in this matter.Good luck with the remainder of your pregnancy, labor and delivery!",i’m senior high school student i’m also five months pregnant got pregnant boyfriend three years parents don’t want us communicate can’t even come visit gynecologist mom goes attend doctor’s appointments she’s supportive wish though boyfriend next able see daughter sonogram least family understand deserves much cry time feel lost hopeless need guidance believe give wrong wanting around right keeping away appointments letting us communicate even though parents everything ask want around ask parents let call selfish person please help,youre wrong wanting boyfriend three years also biological father childdo parents object boyfriend continuing see person object electronic communication dont want involved childs life ask parents reason forbidding communicate boyfriend ask also understand point viewnow also good time boyfriend plan whether live family financially emotionally support one another baby bornyour mom dad definitely making fatherhood difficult boyfriend motherhood stressful youconsider bringing topic next obgyn visit doctor may ask mom explain reasons address theselook online womens resources see clinics agencies would help advocate position mattergood luck remainder pregnancy labor delivery
"Tonight, my husband seemed to put our son down through an incorrect approach. His approach was perfectly wrong. I found myself defending my son. I told him that what he did was not the way to encourage our son.
 Instead of watching my husband’s harsh behavior I decided to sit beside my son and, together, we worked on his science assignment in order to encourage him to study. My husband got upset and he was swearing at me. He threatened me. I knew that he was not joking. His words scared me a lot!","I have had these many cases, but in situations like this.... If it does get out of hand, the police do need to be involved. Sit down and talk to your husband when he is calm and collective.",tonight husband seemed put son incorrect approach approach perfectly wrong found defending son told way encourage son instead watching husband’s harsh behavior decided sit beside son together worked science assignment order encourage study husband got upset swearing threatened knew joking words scared lot,many cases situations like get hand police need involved sit talk husband calm collective
"She was raised by her abusive father and his wife. 30 years ago I shot and killed my rapist and was convicted in Louisiana. I lost custody of my daughter and served 5 years. When I was released, she was 5 and didn't remember me. Many many sad memories came from my having to leave her visit after visit, having to leave her in Texas to travel back to Louisiana. She doesn't remember that. I do. Over the years, I thought we had developed a close mother daughter relationship. She gave me good reason to doubt that on several occasions but especially last year. I have been cruel to her verbally and to my son who I met years after giving him up for adoption. Last night, I was angry at the world and afraid of God. I drank and cussed out a maintenance worker for not doing his job 4 months running. Now I'm not only feeling guilty for that but afraid of being evicted now. Help.","Was either parent abusive or violent toward you?You sound to have suffered emotionally in your relationships since early in life.One point to consider is to strive for moderation in what you offer in relationships.A lot of what you've lived through is extreme, either as victim or perpetrator.If you imagine that apologizing to the custodian for the way spoke to him, would calm him down, do so.At the very least, you'll be actively resolving your guilt over cussing at him, and fear of his retaliation.",raised abusive father wife 30 years ago shot killed rapist convicted louisiana lost custody daughter served 5 years released 5 didnt remember many many sad memories came leave visit visit leave texas travel back louisiana doesnt remember years thought developed close mother daughter relationship gave good reason doubt several occasions especially last year cruel verbally son met years giving adoption last night angry world afraid god drank cussed maintenance worker job 4 months running im feeling guilty afraid evicted help,either parent abusive violent toward youyou sound suffered emotionally relationships since early lifeone point consider strive moderation offer relationshipsa lot youve lived extreme either victim perpetratorif imagine apologizing custodian way spoke would calm soat least youll actively resolving guilt cussing fear retaliation
